PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
Yearsplit,BAU,,,,,,2018,All,,,,,1
Yearsplit,BAU,,,,,,2019,All,,,,,1
Yearsplit,BAU,,,,,,2020,All,,,,,1
Yearsplit,BAU,,,,,,2021,All,,,,,1
Yearsplit,BAU,,,,,,2022,All,,,,,1
Yearsplit,BAU,,,,,,2023,All,,,,,1
Yearsplit,BAU,,,,,,2024,All,,,,,1
Yearsplit,BAU,,,,,,2025,All,,,,,1
Yearsplit,BAU,,,,,,2026,All,,,,,1
Yearsplit,BAU,,,,,,2027,All,,,,,1
Yearsplit,BAU,,,,,,2028,All,,,,,1
Yearsplit,BAU,,,,,,2029,All,,,,,1
Yearsplit,BAU,,,,,,2030,All,,,,,1
Yearsplit,BAU,,,,,,2031,All,,,,,1
Yearsplit,BAU,,,,,,2032,All,,,,,1
Yearsplit,BAU,,,,,,2033,All,,,,,1
Yearsplit,BAU,,,,,,2034,All,,,,,1
Yearsplit,BAU,,,,,,2035,All,,,,,1
Yearsplit,BAU,,,,,,2036,All,,,,,1
Yearsplit,BAU,,,,,,2037,All,,,,,1
Yearsplit,BAU,,,,,,2038,All,,,,,1
Yearsplit,BAU,,,,,,2039,All,,,,,1
Yearsplit,BAU,,,,,,2040,All,,,,,1
Yearsplit,BAU,,,,,,2041,All,,,,,1
Yearsplit,BAU,,,,,,2042,All,,,,,1
Yearsplit,BAU,,,,,,2043,All,,,,,1
Yearsplit,BAU,,,,,,2044,All,,,,,1
Yearsplit,BAU,,,,,,2045,All,,,,,1
Yearsplit,BAU,,,,,,2046,All,,,,,1
Yearsplit,BAU,,,,,,2047,All,,,,,1
Yearsplit,BAU,,,,,,2048,All,,,,,1
Yearsplit,BAU,,,,,,2049,All,,,,,1
Yearsplit,BAU,,,,,,2050,All,,,,,1
