PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2018,,,,,,4.8415
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2019,,,,,,4.944
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2020,,,,,,3.7278
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2021,,,,,,4.3093
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2022,,,,,,4.9471
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2023,,,,,,5.083
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2024,,,,,,5.2227
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2025,,,,,,5.3655
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2026,,,,,,5.5115
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2027,,,,,,5.6607
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2028,,,,,,5.8133
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2029,,,,,,5.9691
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2030,,,,,,6.1284
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2031,,,,,,6.291
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2032,,,,,,6.4572
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2033,,,,,,6.6268
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2034,,,,,,6.8001
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2035,,,,,,6.9769
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2036,,,,,,7.1575
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2037,,,,,,7.3417
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2038,,,,,,7.5297
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2039,,,,,,7.7215
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2040,,,,,,7.9171
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2041,,,,,,8.1167
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2042,,,,,,8.3202
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2043,,,,,,8.5276
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2044,,,,,,8.7392
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2045,,,,,,8.9547
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2046,,,,,,9.1745
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2047,,,,,,9.3983
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2048,,,,,,9.6264
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2049,,,,,,9.8587
TotalAnnualMaxCapacity,NDP,CR,Techs_SUVMIV,,,,2050,,,,,,10.0953
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2018,,,,,,9.6011
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2019,,,,,,9.804
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2020,,,,,,7.3922
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2021,,,,,,8.5454
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2022,,,,,,9.8102
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2023,,,,,,10.0797
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2024,,,,,,10.3567
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2025,,,,,,10.6399
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2026,,,,,,10.9295
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2027,,,,,,11.2254
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2028,,,,,,11.5279
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2029,,,,,,11.8369
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2030,,,,,,12.1527
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2031,,,,,,12.4753
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2032,,,,,,12.8048
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2033,,,,,,13.1412
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2034,,,,,,13.4847
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2035,,,,,,13.8355
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2036,,,,,,14.1934
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2037,,,,,,14.5588
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2038,,,,,,14.9316
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2039,,,,,,15.3119
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2040,,,,,,15.6999
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2041,,,,,,16.0956
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2042,,,,,,16.4991
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2043,,,,,,16.9106
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2044,,,,,,17.33
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2045,,,,,,17.7575
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2046,,,,,,18.1932
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2047,,,,,,18.6372
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2048,,,,,,19.0894
TotalAnnualMaxCapacity,NDP,CR,Techs_Sedan,,,,2049,,,,,,19.5501
