PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2018,,,,,,0.0416
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2019,,,,,,0.0418
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2020,,,,,,0.0432
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2021,,,,,,0.0473
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2022,,,,,,0.0498
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2023,,,,,,0.0491
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2024,,,,,,0.0483
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2025,,,,,,0.0475
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2026,,,,,,0.0466
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2027,,,,,,0.0456
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2028,,,,,,0.0446
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2029,,,,,,0.0435
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2030,,,,,,0.0423
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2031,,,,,,0.0411
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2032,,,,,,0.0397
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2033,,,,,,0.0384
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2034,,,,,,0.0369
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2035,,,,,,0.0353
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2036,,,,,,0.0337
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2037,,,,,,0.032
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2038,,,,,,0.0301
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2039,,,,,,0.0282
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2040,,,,,,0.0262
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2041,,,,,,0.0241
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2042,,,,,,0.0219
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2043,,,,,,0.0196
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2044,,,,,,0.0172
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2045,,,,,,0.0146
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2046,,,,,,0.0119
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2047,,,,,,0.0091
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2048,,,,,,0.0062
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2049,,,,,,0.0032
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOIDSL,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOILPG,,,,2018,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOILPG,,,,2019,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOILPG,,,,2020,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOILPG,,,,2021,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOILPG,,,,2022,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOILPG,,,,2023,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOILPG,,,,2024,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOILPG,,,,2025,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOILPG,,,,2026,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOILPG,,,,2027,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDP,CR,INBOILPG,,,,2028,,,,,,999.0
