PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2018,,,,,,1.7637
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2019,,,,,,1.7724
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2020,,,,,,1.8284
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2021,,,,,,2.004
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2022,,,,,,2.1114
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2023,,,,,,2.0803
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2024,,,,,,2.0468
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2025,,,,,,2.0109
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2026,,,,,,1.9725
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2027,,,,,,1.9314
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2028,,,,,,1.8877
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2029,,,,,,1.8411
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2030,,,,,,1.7916
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2031,,,,,,1.739
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2032,,,,,,1.6833
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2033,,,,,,1.6244
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2034,,,,,,1.5621
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2035,,,,,,1.4964
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2036,,,,,,1.427
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2037,,,,,,1.3539
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2038,,,,,,1.2769
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2039,,,,,,1.196
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2040,,,,,,1.1109
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2041,,,,,,1.0216
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2042,,,,,,0.9278
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2043,,,,,,0.8295
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2044,,,,,,0.7265
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2045,,,,,,0.6186
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2046,,,,,,0.5056
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2047,,,,,,0.3875
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2048,,,,,,0.2639
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2049,,,,,,0.1348
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIBIO,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2018,,,,,,0.0415
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2019,,,,,,0.0417
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2020,,,,,,0.0431
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2021,,,,,,0.0472
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2022,,,,,,0.0497
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2023,,,,,,0.0489
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2024,,,,,,0.0481
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2025,,,,,,0.0473
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2026,,,,,,0.0464
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2027,,,,,,0.0454
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2028,,,,,,0.0444
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2029,,,,,,0.0433
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2030,,,,,,0.0421
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2031,,,,,,0.0409
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2032,,,,,,0.0396
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2033,,,,,,0.0382
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2034,,,,,,0.0367
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2035,,,,,,0.0352
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2036,,,,,,0.0336
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2037,,,,,,0.0318
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2038,,,,,,0.03
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2039,,,,,,0.0281
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2040,,,,,,0.0261
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2041,,,,,,0.024
TotalTechnologyAnnualActivityLowerLimit,NDPMC10A3,CR,INBOIDSL,,,,2042,,,,,,0.0218
