PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,NDPMC11A1I,,,,,,2018,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2019,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2020,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2021,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2022,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2023,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2024,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2025,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2026,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2027,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2028,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2029,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2030,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2031,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2032,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2033,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2034,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2035,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2036,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2037,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2038,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2039,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2040,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2041,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2042,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2043,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2044,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2045,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2046,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2047,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2048,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2049,All,,,,,1
YearSplit,NDPMC11A1I,,,,,,2050,All,,,,,1
