PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2018,,,,,,1.999
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2019,,,,,,2.0149
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2020,,,,,,2.1011
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2021,,,,,,1.9603
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2022,,,,,,1.9976
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2023,,,,,,2.0356
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2024,,,,,,2.0743
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2025,,,,,,2.1137
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2026,,,,,,2.1539
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2027,,,,,,2.1948
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2028,,,,,,2.2365
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2029,,,,,,2.279
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2030,,,,,,2.3223
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2031,,,,,,2.3664
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2032,,,,,,2.4114
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2033,,,,,,2.4572
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2034,,,,,,2.5039
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2035,,,,,,2.5515
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2036,,,,,,2.6
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2037,,,,,,2.6494
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2038,,,,,,2.6997
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2039,,,,,,2.751
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2040,,,,,,2.8033
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2041,,,,,,2.8566
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2042,,,,,,2.9109
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2043,,,,,,2.9662
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2044,,,,,,3.0226
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2045,,,,,,3.08
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2046,,,,,,3.1385
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2047,,,,,,3.1981
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2048,,,,,,3.2589
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2049,,,,,,3.3208
FixedCost,NDPMC11A2I,CR,DIST_DSL,,,,2050,,,,,,3.3839
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2018,,,,,,2.3783
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2019,,,,,,2.4033
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2020,,,,,,2.3586
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2021,,,,,,2.104
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2022,,,,,,2.144
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2023,,,,,,2.1847
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2024,,,,,,2.2262
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2025,,,,,,2.2685
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2026,,,,,,2.3116
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2027,,,,,,2.3555
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2028,,,,,,2.4003
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2029,,,,,,2.4459
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2030,,,,,,2.4924
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2031,,,,,,2.5398
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2032,,,,,,2.5881
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2033,,,,,,2.6373
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2034,,,,,,2.6874
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2035,,,,,,2.7385
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2036,,,,,,2.7905
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2037,,,,,,2.8435
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2038,,,,,,2.8975
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2039,,,,,,2.9526
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2040,,,,,,3.0087
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2041,,,,,,3.0659
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2042,,,,,,3.1242
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2043,,,,,,3.1836
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2044,,,,,,3.2441
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2045,,,,,,3.3057
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2046,,,,,,3.3685
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2047,,,,,,3.4325
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2048,,,,,,3.4977
FixedCost,NDPMC11A2I,CR,DIST_GSL,,,,2049,,,,,,3.5642
