PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2018,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2019,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2020,,,,,,0.019
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2021,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2022,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2023,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2024,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2025,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2026,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2027,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2028,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2029,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2030,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2031,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2032,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2033,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2034,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2035,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2036,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2037,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2038,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2039,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2040,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2041,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2042,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2043,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2044,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2045,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2046,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2047,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2048,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2049,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPHROR,,,,2050,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2018,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2019,,,,,,0.055
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2020,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2021,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2022,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2023,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2024,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2025,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2026,,,,,,0.055
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2027,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2028,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2029,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2030,,,,,,0.055
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2031,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2032,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2033,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2034,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2035,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2036,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2037,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2038,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2039,,,,,,0.0
TotalAnnualMinCapacityInvestment,NDPMC11A2I,CR,PPGEO,,,,2040,,,,,,0.0
