PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,NDPMC11A2II,CR,DIST_DSL,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,DIST_GSL,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,DIST_LPG,,,,,,,,,,10.0
OperationalLife,NDPMC11A2II,CR,DIST_FOI,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,DIST_COK,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,DIST_NGS,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,PPHDAM,,,,,,,,,,40.0
OperationalLife,NDPMC11A2II,CR,PPHROR,,,,,,,,,,40.0
OperationalLife,NDPMC11A2II,CR,PPGEO,,,,,,,,,,30.0
OperationalLife,NDPMC11A2II,CR,PPWNDON,,,,,,,,,,25.0
OperationalLife,NDPMC11A2II,CR,PPPVT,,,,,,,,,,25.0
OperationalLife,NDPMC11A2II,CR,PPPVTHYD,,,,,,,,,,25.0
OperationalLife,NDPMC11A2II,CR,PPPVTS,,,,,,,,,,25.0
OperationalLife,NDPMC11A2II,CR,PPPVD,,,,,,,,,,20.0
OperationalLife,NDPMC11A2II,CR,PPPVDS,,,,,,,,,,20.0
OperationalLife,NDPMC11A2II,CR,PPBIO,,,,,,,,,,25.0
OperationalLife,NDPMC11A2II,CR,PPDSL,,,,,,,,,,35.0
OperationalLife,NDPMC11A2II,CR,PPFOI,,,,,,,,,,35.0
OperationalLife,NDPMC11A2II,CR,DIST_BM,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,DIST_BF,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,ELE_TRANS,,,,,,,,,,60.0
OperationalLife,NDPMC11A2II,CR,ELE_DIST,,,,,,,,,,50.0
OperationalLife,NDPMC11A2II,CR,HYD_G_PROD,,,,,,,,,,20.0
OperationalLife,NDPMC11A2II,CR,HYD_DIST,,,,,,,,,,15.0
OperationalLife,NDPMC11A2II,CR,T5DSLAGR,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T5ELEAGR,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T5LPGCOM,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T5ELECOM,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T5ELEPUB,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T5LPGRES,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T5ELERES,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T5ELEEXP,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T4DSL_PRI,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T4GSL_PRI,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T4LPG_PRI,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T4ELE_PRI,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T4DSL_PUB,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T4LPG_PUB,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T4ELE_PUB,,,,,,,,,,15.0
OperationalLife,NDPMC11A2II,CR,T4HYD_PUB,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T4GSL_PUB,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T4ELE_HEA,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T4DSL_HEA,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T4LPG_HEA,,,,,,,,,,15.0
OperationalLife,NDPMC11A2II,CR,T4HYD_HEA,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T4DSL_LIG,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T4GSL_LIG,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T4LPG_LIG,,,,,,,,,,1.0
OperationalLife,NDPMC11A2II,CR,T4ELE_LIG,,,,,,,,,,15.0
OperationalLife,NDPMC11A2II,CR,TRSUVDSL,,,,,,,,,,17.0
OperationalLife,NDPMC11A2II,CR,TRSUVGSL,,,,,,,,,,17.0
OperationalLife,NDPMC11A2II,CR,TRSUVLPG,,,,,,,,,,17.0
OperationalLife,NDPMC11A2II,CR,TRSUVELE,,,,,,,,,,16.0
OperationalLife,NDPMC11A2II,CR,TRSUVPHG,,,,,,,,,,16.0
OperationalLife,NDPMC11A2II,CR,TRSUVPHD,,,,,,,,,,16.0
OperationalLife,NDPMC11A2II,CR,TRSEDGSL,,,,,,,,,,17.0
OperationalLife,NDPMC11A2II,CR,TRSEDELE,,,,,,,,,,16.0
OperationalLife,NDPMC11A2II,CR,TRSEDPHG,,,,,,,,,,16.0
