PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2018,,,,,,0.03
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2019,,,,,,0.03
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2020,,,,,,0.03
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2021,,,,,,0.03
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2022,,,,,,0.03
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2023,,,,,,0.03
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2024,,,,,,0.03
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2025,,,,,,0.03
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2026,,,,,,0.0408
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2027,,,,,,0.0516
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2028,,,,,,0.0624
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2029,,,,,,0.0732
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2030,,,,,,0.084
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2031,,,,,,0.0948
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2032,,,,,,0.1056
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2033,,,,,,0.1164
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2034,,,,,,0.1272
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2035,,,,,,0.138
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2036,,,,,,0.1488
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2037,,,,,,0.1596
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2038,,,,,,0.1704
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2039,,,,,,0.1812
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2040,,,,,,0.192
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2041,,,,,,0.2028
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2042,,,,,,0.2136
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2043,,,,,,0.2244
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2044,,,,,,0.2352
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2045,,,,,,0.246
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2046,,,,,,0.2568
TotalAnnualMaxCapacity,NDPMC11A3I,CR,PPBIO,,,,2047,,,,,,0.2676
