PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2018,,,,,,1.671
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2019,,,,,,1.7124
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2020,,,,,,1.7538
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2021,,,,,,1.7952
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2022,,,,,,1.8367
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2023,,,,,,1.8781
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2024,,,,,,1.9195
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2025,,,,,,1.9609
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2026,,,,,,2.0023
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2027,,,,,,2.0437
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2028,,,,,,2.0851
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2029,,,,,,2.1265
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2030,,,,,,2.168
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2031,,,,,,2.2094
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2032,,,,,,2.2508
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2033,,,,,,2.2922
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2034,,,,,,2.3336
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2035,,,,,,2.375
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2036,,,,,,2.4164
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2037,,,,,,2.4579
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2038,,,,,,2.4993
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2039,,,,,,2.5407
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2040,,,,,,2.5821
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2041,,,,,,2.6235
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2042,,,,,,2.6649
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2043,,,,,,2.7063
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2044,,,,,,2.7477
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2045,,,,,,2.7892
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2046,,,,,,2.8306
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2047,,,,,,2.872
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2048,,,,,,2.9134
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2049,,,,,,2.9548
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRDSL,,,2050,,,,,,2.9962
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2018,,,,,,1.1777
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2019,,,,,,1.2064
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2020,,,,,,1.2351
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2021,,,,,,1.2638
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2022,,,,,,1.2925
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2023,,,,,,1.3212
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2024,,,,,,1.3499
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2025,,,,,,1.3785
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2026,,,,,,1.4072
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2027,,,,,,1.4359
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2028,,,,,,1.4646
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2029,,,,,,1.4933
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2030,,,,,,1.522
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2031,,,,,,1.5507
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2032,,,,,,1.5794
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2033,,,,,,1.6081
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2034,,,,,,1.6368
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2035,,,,,,1.6655
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2036,,,,,,1.6942
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2037,,,,,,1.7229
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2038,,,,,,1.7516
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2039,,,,,,1.7802
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2040,,,,,,1.8089
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2041,,,,,,1.8376
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2042,,,,,,1.8663
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2043,,,,,,1.895
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2044,,,,,,1.9237
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2045,,,,,,1.9524
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2046,,,,,,1.9811
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2047,,,,,,2.0098
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2048,,,,,,2.0385
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2049,,,,,,2.0672
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5AGRELE,,,2050,,,,,,2.0959
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2018,,,,,,1.209
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2019,,,,,,1.2557
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2020,,,,,,1.3082
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2021,,,,,,1.3573
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2022,,,,,,1.4064
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2023,,,,,,1.4571
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2024,,,,,,1.5065
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2025,,,,,,1.5562
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2026,,,,,,1.6063
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2027,,,,,,1.6559
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2028,,,,,,1.7057
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2029,,,,,,1.7556
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2030,,,,,,1.8053
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2031,,,,,,1.8551
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2032,,,,,,1.905
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2033,,,,,,1.9547
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2034,,,,,,2.0046
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2035,,,,,,2.0544
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2036,,,,,,2.1041
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2037,,,,,,2.154
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2038,,,,,,2.2038
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2039,,,,,,2.2536
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2040,,,,,,2.3034
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2041,,,,,,2.3532
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2042,,,,,,2.403
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2043,,,,,,2.4528
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2044,,,,,,2.5026
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2045,,,,,,2.5524
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2046,,,,,,2.6022
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2047,,,,,,2.652
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2048,,,,,,2.7018
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2049,,,,,,2.7516
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMLPG,,,2050,,,,,,2.8014
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2018,,,,,,9.1361
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2019,,,,,,9.3587
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2020,,,,,,9.5813
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2021,,,,,,9.8039
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2022,,,,,,10.0265
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2023,,,,,,10.2491
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2024,,,,,,10.4716
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2025,,,,,,10.6942
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2026,,,,,,11.1334
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2027,,,,,,11.5725
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2028,,,,,,12.0117
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2029,,,,,,12.4508
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2030,,,,,,12.89
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2031,,,,,,13.3291
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2032,,,,,,13.7683
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2033,,,,,,14.2075
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2034,,,,,,14.6466
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2035,,,,,,15.0858
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2036,,,,,,15.5249
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2037,,,,,,15.9641
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2038,,,,,,16.4032
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2039,,,,,,16.8424
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2040,,,,,,17.2815
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2041,,,,,,17.7207
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2042,,,,,,18.1599
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2043,,,,,,18.599
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2044,,,,,,19.0382
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2045,,,,,,19.4773
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2046,,,,,,19.9165
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2047,,,,,,20.3556
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2048,,,,,,20.7948
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2049,,,,,,21.234
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5COMELE,,,2050,,,,,,21.6731
SpecifiedAnnualDemand,NDPMC12A1,CR,,E5PUBELE,,,2018,,,,,,4.5759
