PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,NDPMC12A1,,,,,,2018,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2019,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2020,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2021,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2022,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2023,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2024,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2025,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2026,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2027,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2028,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2029,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2030,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2031,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2032,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2033,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2034,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2035,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2036,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2037,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2038,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2039,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2040,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2041,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2042,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2043,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2044,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2045,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2046,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2047,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2048,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2049,All,,,,,1
YearSplit,NDPMC12A1,,,,,,2050,All,,,,,1
