PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2018,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2019,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2020,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2021,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2022,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2023,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2024,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2025,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2026,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2027,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2028,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2029,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2030,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2031,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2032,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2033,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2034,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2035,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2036,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2037,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2038,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2039,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2040,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2041,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2042,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2043,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2044,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2045,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2046,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2047,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2048,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2049,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHDAM,,,,2050,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2018,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2019,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2020,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2021,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2022,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2023,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2024,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2025,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2026,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2027,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2028,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2029,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2030,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2031,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2032,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2033,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2034,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2035,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2036,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2037,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2038,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2039,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2040,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2041,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2042,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2043,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2044,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2045,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2046,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2047,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2048,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2049,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPHROR,,,,2050,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2018,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2019,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2020,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2021,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2022,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2023,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2024,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2025,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2026,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2027,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2028,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2029,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2030,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2031,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2032,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2033,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2034,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2035,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2036,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2037,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2038,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2039,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2040,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2041,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2042,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2043,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2044,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2045,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2046,,,,,,0.9
AvailabilityFactor,NDPMC13A1,CR,PPGEO,,,,2047,,,,,,0.9
