PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,NDPMC14,,,,,,2018,All,,,,,1
YearSplit,NDPMC14,,,,,,2019,All,,,,,1
YearSplit,NDPMC14,,,,,,2020,All,,,,,1
YearSplit,NDPMC14,,,,,,2021,All,,,,,1
YearSplit,NDPMC14,,,,,,2022,All,,,,,1
YearSplit,NDPMC14,,,,,,2023,All,,,,,1
YearSplit,NDPMC14,,,,,,2024,All,,,,,1
YearSplit,NDPMC14,,,,,,2025,All,,,,,1
YearSplit,NDPMC14,,,,,,2026,All,,,,,1
YearSplit,NDPMC14,,,,,,2027,All,,,,,1
YearSplit,NDPMC14,,,,,,2028,All,,,,,1
YearSplit,NDPMC14,,,,,,2029,All,,,,,1
YearSplit,NDPMC14,,,,,,2030,All,,,,,1
YearSplit,NDPMC14,,,,,,2031,All,,,,,1
YearSplit,NDPMC14,,,,,,2032,All,,,,,1
YearSplit,NDPMC14,,,,,,2033,All,,,,,1
YearSplit,NDPMC14,,,,,,2034,All,,,,,1
YearSplit,NDPMC14,,,,,,2035,All,,,,,1
YearSplit,NDPMC14,,,,,,2036,All,,,,,1
YearSplit,NDPMC14,,,,,,2037,All,,,,,1
YearSplit,NDPMC14,,,,,,2038,All,,,,,1
YearSplit,NDPMC14,,,,,,2039,All,,,,,1
YearSplit,NDPMC14,,,,,,2040,All,,,,,1
YearSplit,NDPMC14,,,,,,2041,All,,,,,1
YearSplit,NDPMC14,,,,,,2042,All,,,,,1
YearSplit,NDPMC14,,,,,,2043,All,,,,,1
YearSplit,NDPMC14,,,,,,2044,All,,,,,1
YearSplit,NDPMC14,,,,,,2045,All,,,,,1
YearSplit,NDPMC14,,,,,,2046,All,,,,,1
YearSplit,NDPMC14,,,,,,2047,All,,,,,1
YearSplit,NDPMC14,,,,,,2048,All,,,,,1
YearSplit,NDPMC14,,,,,,2049,All,,,,,1
YearSplit,NDPMC14,,,,,,2050,All,,,,,1
