PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2018,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2019,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2020,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2021,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2022,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2023,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2024,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2025,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2026,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2027,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2028,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2029,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2030,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2031,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2032,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2033,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2034,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2035,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2036,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2037,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2038,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2039,All,,,,,1
SpecifiedDemandProfile,NDPMC2A3,CR,,E5AGRDSL,,,2040,All,,,,,1
