PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,NDPMC3A1II,,,,,,2018,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2019,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2020,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2021,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2022,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2023,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2024,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2025,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2026,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2027,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2028,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2029,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2030,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2031,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2032,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2033,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2034,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2035,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2036,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2037,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2038,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2039,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2040,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2041,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2042,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2043,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2044,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2045,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2046,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2047,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2048,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2049,All,,,,,1
YearSplit,NDPMC3A1II,,,,,,2050,All,,,,,1
