PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2018,,,,,,0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2019,,,,,,0.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2020,,,,,,0.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2021,,,,,,0.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2022,,,,,,0.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2023,,,,,,0.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2024,,,,,,0.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2025,,,,,,0.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2026,,,,,,1.06
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2027,,,,,,1.0721
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2028,,,,,,1.0841
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2029,,,,,,1.0962
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2030,,,,,,1.1082
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2031,,,,,,1.1203
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2032,,,,,,1.1292
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2033,,,,,,1.1381
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2034,,,,,,1.147
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2035,,,,,,1.1559
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2036,,,,,,1.1648
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2037,,,,,,1.1703
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2038,,,,,,1.1758
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2039,,,,,,1.1814
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2040,,,,,,1.1869
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2041,,,,,,1.1924
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2042,,,,,,1.197
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2043,,,,,,1.2016
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2044,,,,,,1.2062
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2045,,,,,,1.2108
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2046,,,,,,1.2154
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2047,,,,,,1.2204
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2048,,,,,,1.2254
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2049,,,,,,1.2305
TotalAnnualMinCapacity,NDPMC8A1,CR,TRXTRAIELE,,,,2050,,,,,,1.2355
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2018,,,,,,0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2019,,,,,,0.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2020,,,,,,0.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2021,,,,,,0.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2022,,,,,,1.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2023,,,,,,1.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2024,,,,,,1.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2025,,,,,,1.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2026,,,,,,1.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2027,,,,,,1.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2028,,,,,,1.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2029,,,,,,1.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2030,,,,,,1.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2031,,,,,,1.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2032,,,,,,1.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2033,,,,,,1.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2034,,,,,,1.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2035,,,,,,1.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2036,,,,,,1.0
TotalAnnualMinCapacity,NDPMC8A1,CR,TRANRAILFREINF,,,,2037,,,,,,1.0
