PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2018,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2019,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2020,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2021,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2022,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2023,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2024,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2025,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2026,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2027,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2028,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2029,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2030,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2031,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2032,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2033,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2034,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2035,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2036,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2037,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2038,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2039,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2040,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2041,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2042,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2043,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2044,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2045,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2046,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2047,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2048,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2049,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,DIST_LPG,,,,2050,,,,,,8.16
ResidualCapacity,NDPMC8A3,CR,PPHDAM,,,,2018,,,,,,1.13
ResidualCapacity,NDPMC8A3,CR,PPHDAM,,,,2019,,,,,,1.13
ResidualCapacity,NDPMC8A3,CR,PPHDAM,,,,2020,,,,,,1.13
