PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2018,,,,,,13.2688
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2019,,,,,,11.9222
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2020,,,,,,8.5117
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2021,,,,,,11.9222
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2022,,,,,,12.1487
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2023,,,,,,12.3795
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2024,,,,,,12.6147
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2025,,,,,,12.8544
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2026,,,,,,13.0986
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2027,,,,,,13.3475
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2028,,,,,,13.6011
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2029,,,,,,13.8595
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2030,,,,,,14.1228
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2031,,,,,,14.3911
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2032,,,,,,14.6645
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2033,,,,,,14.9431
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2034,,,,,,15.227
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2035,,,,,,15.5163
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2036,,,,,,15.8111
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2037,,,,,,16.1115
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2038,,,,,,16.4176
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2039,,,,,,16.7295
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2040,,,,,,17.0474
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2041,,,,,,17.3713
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2042,,,,,,17.7014
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2043,,,,,,18.0377
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2044,,,,,,18.3804
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2045,,,,,,18.7296
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2046,,,,,,19.0855
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2047,,,,,,19.4481
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2048,,,,,,19.8176
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2049,,,,,,20.1941
VariableCost,NDPMC9A3,CR,DIST_DSL,,,1,2050,,,,,,20.5778
VariableCost,NDPMC9A3,CR,DIST_GSL,,,1,2018,,,,,,14.9253
VariableCost,NDPMC9A3,CR,DIST_GSL,,,1,2019,,,,,,13.1679
VariableCost,NDPMC9A3,CR,DIST_GSL,,,1,2020,,,,,,8.7136
VariableCost,NDPMC9A3,CR,DIST_GSL,,,1,2021,,,,,,13.1679
VariableCost,NDPMC9A3,CR,DIST_GSL,,,1,2022,,,,,,13.4181
VariableCost,NDPMC9A3,CR,DIST_GSL,,,1,2023,,,,,,13.673
VariableCost,NDPMC9A3,CR,DIST_GSL,,,1,2024,,,,,,13.9328
VariableCost,NDPMC9A3,CR,DIST_GSL,,,1,2025,,,,,,14.1975
VariableCost,NDPMC9A3,CR,DIST_GSL,,,1,2026,,,,,,14.4673
VariableCost,NDPMC9A3,CR,DIST_GSL,,,1,2027,,,,,,14.7422
VariableCost,NDPMC9A3,CR,DIST_GSL,,,1,2028,,,,,,15.0223
VariableCost,NDPMC9A3,CR,DIST_GSL,,,1,2029,,,,,,15.3077
VariableCost,NDPMC9A3,CR,DIST_GSL,,,1,2030,,,,,,15.5985
VariableCost,NDPMC9A3,CR,DIST_GSL,,,1,2031,,,,,,15.8949
VariableCost,NDPMC9A3,CR,DIST_GSL,,,1,2032,,,,,,16.1969
VariableCost,NDPMC9A3,CR,DIST_GSL,,,1,2033,,,,,,16.5046
VariableCost,NDPMC9A3,CR,DIST_GSL,,,1,2034,,,,,,16.8182
