PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,NDPTh,CR,DIST_DSL,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,DIST_GSL,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,DIST_LPG,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,DIST_FOI,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,DIST_COK,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,DIST_NGS,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,PPHDAM,,,,,,,,,,31.536
CapacityToActivityUnit,NDPTh,CR,PPHROR,,,,,,,,,,31.536
CapacityToActivityUnit,NDPTh,CR,PPGEO,,,,,,,,,,31.536
CapacityToActivityUnit,NDPTh,CR,PPWNDON,,,,,,,,,,31.536
CapacityToActivityUnit,NDPTh,CR,PPPVT,,,,,,,,,,31.536
CapacityToActivityUnit,NDPTh,CR,PPPVTHYD,,,,,,,,,,31.536
CapacityToActivityUnit,NDPTh,CR,PPPVTS,,,,,,,,,,31.536
CapacityToActivityUnit,NDPTh,CR,PPPVD,,,,,,,,,,31.536
CapacityToActivityUnit,NDPTh,CR,PPPVDS,,,,,,,,,,31.536
CapacityToActivityUnit,NDPTh,CR,PPBIO,,,,,,,,,,31.536
CapacityToActivityUnit,NDPTh,CR,PPDSL,,,,,,,,,,31.536
CapacityToActivityUnit,NDPTh,CR,PPFOI,,,,,,,,,,31.536
CapacityToActivityUnit,NDPTh,CR,DIST_BM,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,DIST_BF,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,ELE_TRANS,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,ELE_DIST,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,HYD_G_PROD,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,HYD_DIST,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T5DSLAGR,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T5ELEAGR,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T5LPGCOM,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T5ELECOM,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T5ELEPUB,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T5LPGRES,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T5ELERES,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T5ELEEXP,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T4DSL_PRI,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T4GSL_PRI,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T4LPG_PRI,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T4ELE_PRI,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T4DSL_PUB,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T4LPG_PUB,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T4ELE_PUB,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T4HYD_PUB,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T4GSL_PUB,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T4ELE_HEA,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T4DSL_HEA,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T4LPG_HEA,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T4HYD_HEA,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T4DSL_LIG,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T4GSL_LIG,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T4LPG_LIG,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,T4ELE_LIG,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRSUVDSL,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRSUVGSL,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRSUVLPG,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRSUVELE,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRSUVPHG,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRSUVPHD,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRSEDGSL,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRSEDELE,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRSEDPHG,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRMOTGSL,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRMOTELE,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRBUSDSL,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRBUSLPG,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRBUSELE,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRBUSHYD,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRBUSPHD,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRMBUSDSL,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRMBUSLPG,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRMBUSELE,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRMBUSHYD,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRMBUSPHD,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRTAXDSL,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRTAXGSL,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRTAXELE,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRTAXPHG,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRTAXPHD,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRXTRAIDSL,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRXTRAIELE,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRXTRAIFREELE,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRYTKDSL,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRYTKLPG,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRYTKELE,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRYTKHYD,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRYTKPHD,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRYLFDSL,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRYLFGSL,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRYLFLPG,,,,,,,,,,1.0
CapacityToActivityUnit,NDPTh,CR,TRYLFELE,,,,,,,,,,1.0
