PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,NDPTh,CR,DIST_DSL,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,DIST_GSL,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,DIST_LPG,,,,,,,,,,10.0
OperationalLife,NDPTh,CR,DIST_FOI,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,DIST_COK,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,DIST_NGS,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,PPHDAM,,,,,,,,,,40.0
OperationalLife,NDPTh,CR,PPHROR,,,,,,,,,,40.0
OperationalLife,NDPTh,CR,PPGEO,,,,,,,,,,30.0
OperationalLife,NDPTh,CR,PPWNDON,,,,,,,,,,25.0
OperationalLife,NDPTh,CR,PPPVT,,,,,,,,,,25.0
OperationalLife,NDPTh,CR,PPPVTHYD,,,,,,,,,,25.0
OperationalLife,NDPTh,CR,PPPVTS,,,,,,,,,,25.0
OperationalLife,NDPTh,CR,PPPVD,,,,,,,,,,20.0
OperationalLife,NDPTh,CR,PPPVDS,,,,,,,,,,20.0
OperationalLife,NDPTh,CR,PPBIO,,,,,,,,,,25.0
OperationalLife,NDPTh,CR,PPDSL,,,,,,,,,,35.0
OperationalLife,NDPTh,CR,PPFOI,,,,,,,,,,35.0
OperationalLife,NDPTh,CR,DIST_BM,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,DIST_BF,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,ELE_TRANS,,,,,,,,,,60.0
OperationalLife,NDPTh,CR,ELE_DIST,,,,,,,,,,50.0
OperationalLife,NDPTh,CR,HYD_G_PROD,,,,,,,,,,20.0
OperationalLife,NDPTh,CR,HYD_DIST,,,,,,,,,,15.0
OperationalLife,NDPTh,CR,T5DSLAGR,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T5ELEAGR,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T5LPGCOM,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T5ELECOM,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T5ELEPUB,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T5LPGRES,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T5ELERES,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T5ELEEXP,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T4DSL_PRI,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T4GSL_PRI,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T4LPG_PRI,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T4ELE_PRI,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T4DSL_PUB,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T4LPG_PUB,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T4ELE_PUB,,,,,,,,,,15.0
OperationalLife,NDPTh,CR,T4HYD_PUB,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T4GSL_PUB,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T4ELE_HEA,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T4DSL_HEA,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T4LPG_HEA,,,,,,,,,,15.0
OperationalLife,NDPTh,CR,T4HYD_HEA,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T4DSL_LIG,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T4GSL_LIG,,,,,,,,,,1.0
OperationalLife,NDPTh,CR,T4LPG_LIG,,,,,,,,,,1.0
