PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2018,,,,,,0.0
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2019,,,,,,0.0
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2020,,,,,,0.0
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2021,,,,,,0.0
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2022,,,,,,0.0
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2023,,,,,,0.0
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2024,,,,,,0.0
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2025,,,,,,0.0
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2026,,,,,,0.0
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2027,,,,,,0.0
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2028,,,,,,0.0
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2029,,,,,,0.0
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2030,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2031,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2032,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2033,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2034,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2035,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2036,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2037,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2038,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2039,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2040,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2041,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2042,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2043,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2044,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2045,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2046,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2047,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2048,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2049,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHDAM,,,,2050,,,,,,0.65
TotalAnnualMaxCapacityInvestment,NDP,CR,PPHROR,,,,2018,,,,,,0.025
