PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2018,,,,,,1.7637
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2019,,,,,,1.7724
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2020,,,,,,1.8284
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2021,,,,,,2.004
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2022,,,,,,2.1114
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2023,,,,,,2.1528
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2024,,,,,,2.195
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2025,,,,,,2.238
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2026,,,,,,2.2819
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2027,,,,,,2.3266
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2028,,,,,,2.3722
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2029,,,,,,2.4187
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2030,,,,,,2.466
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2031,,,,,,2.5143
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2032,,,,,,2.5635
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2033,,,,,,2.6137
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2034,,,,,,2.6648
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2035,,,,,,2.717
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2036,,,,,,2.7701
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2037,,,,,,2.8242
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2038,,,,,,2.8794
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2039,,,,,,2.9357
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2040,,,,,,2.993
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2041,,,,,,3.0515
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2042,,,,,,3.1111
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2043,,,,,,3.1718
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2044,,,,,,3.2337
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2045,,,,,,3.2968
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2046,,,,,,3.3611
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2047,,,,,,3.4266
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2048,,,,,,3.4934
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2049,,,,,,3.5615
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIBIO,,,,2050,,,,,,3.6309
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2018,,,,,,0.0415
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2019,,,,,,0.0417
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2020,,,,,,0.0431
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2021,,,,,,0.0472
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2022,,,,,,0.0497
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2023,,,,,,0.0489
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2024,,,,,,0.0481
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2025,,,,,,0.0473
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2026,,,,,,0.0464
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2027,,,,,,0.0454
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2028,,,,,,0.0444
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2029,,,,,,0.0433
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2030,,,,,,0.0421
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2031,,,,,,0.0409
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2032,,,,,,0.0396
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2033,,,,,,0.0382
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2034,,,,,,0.0367
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2035,,,,,,0.0352
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2036,,,,,,0.0336
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2037,,,,,,0.0318
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2038,,,,,,0.03
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2039,,,,,,0.0281
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2040,,,,,,0.0261
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2041,,,,,,0.024
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2042,,,,,,0.0218
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2043,,,,,,0.0195
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2044,,,,,,0.0171
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2045,,,,,,0.0145
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2046,,,,,,0.0119
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2047,,,,,,0.0091
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2048,,,,,,0.0062
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2049,,,,,,0.0032
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIDSL,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2023,,,,,,0.1088
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2024,,,,,,0.2223
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2025,,,,,,0.3407
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2026,,,,,,0.4641
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2027,,,,,,0.5928
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2028,,,,,,0.7268
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2029,,,,,,0.8664
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2030,,,,,,1.0117
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2031,,,,,,1.163
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2032,,,,,,1.3203
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2033,,,,,,1.4839
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2034,,,,,,1.6541
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2035,,,,,,1.8309
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2036,,,,,,2.0146
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2037,,,,,,2.2055
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2038,,,,,,2.4037
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2039,,,,,,2.6095
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2040,,,,,,2.8232
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2041,,,,,,3.0448
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2042,,,,,,3.2748
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2043,,,,,,3.5134
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2044,,,,,,3.7608
TotalTechnologyAnnualActivityLowerLimit,NDPTh,CR,INBOIELE,,,,2045,,,,,,4.0173
