PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2018,,,,,,0.0416
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2019,,,,,,0.0418
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2020,,,,,,0.0432
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2021,,,,,,0.0473
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2022,,,,,,0.0498
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2023,,,,,,0.0491
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2024,,,,,,0.0483
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2025,,,,,,0.0475
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2026,,,,,,0.0466
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2027,,,,,,0.0456
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2028,,,,,,0.0446
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2029,,,,,,0.0435
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2030,,,,,,0.0423
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2031,,,,,,0.0411
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2032,,,,,,0.0397
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2033,,,,,,0.0384
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2034,,,,,,0.0369
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2035,,,,,,0.0353
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2036,,,,,,0.0337
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2037,,,,,,0.032
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2038,,,,,,0.0301
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2039,,,,,,0.0282
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2040,,,,,,0.0262
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2041,,,,,,0.0241
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2042,,,,,,0.0219
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2043,,,,,,0.0196
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2044,,,,,,0.0172
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2045,,,,,,0.0146
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2046,,,,,,0.0119
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2047,,,,,,0.0091
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2048,,,,,,0.0062
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2049,,,,,,0.0032
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIDSL,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2018,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2019,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2020,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2021,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2022,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2023,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2024,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2025,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2026,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2027,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2028,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2029,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2030,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2031,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2032,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2033,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2034,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2035,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2036,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2037,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2038,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2039,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2040,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2041,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2042,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2043,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2044,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2045,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2046,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2047,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2048,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2049,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOILPG,,,,2050,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIELE,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIELE,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIELE,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIELE,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIELE,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIELE,,,,2023,,,,,,0.1092
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIELE,,,,2024,,,,,,0.2232
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIELE,,,,2025,,,,,,0.342
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIELE,,,,2026,,,,,,0.466
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIELE,,,,2027,,,,,,0.5952
TotalTechnologyAnnualActivityUpperLimit,NDPTh,CR,INBOIELE,,,,2028,,,,,,0.7297
