PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,NDPTh,,,,,,2018,All,,,,,1
YearSplit,NDPTh,,,,,,2019,All,,,,,1
YearSplit,NDPTh,,,,,,2020,All,,,,,1
YearSplit,NDPTh,,,,,,2021,All,,,,,1
YearSplit,NDPTh,,,,,,2022,All,,,,,1
YearSplit,NDPTh,,,,,,2023,All,,,,,1
YearSplit,NDPTh,,,,,,2024,All,,,,,1
YearSplit,NDPTh,,,,,,2025,All,,,,,1
YearSplit,NDPTh,,,,,,2026,All,,,,,1
YearSplit,NDPTh,,,,,,2027,All,,,,,1
YearSplit,NDPTh,,,,,,2028,All,,,,,1
YearSplit,NDPTh,,,,,,2029,All,,,,,1
YearSplit,NDPTh,,,,,,2030,All,,,,,1
YearSplit,NDPTh,,,,,,2031,All,,,,,1
YearSplit,NDPTh,,,,,,2032,All,,,,,1
YearSplit,NDPTh,,,,,,2033,All,,,,,1
YearSplit,NDPTh,,,,,,2034,All,,,,,1
YearSplit,NDPTh,,,,,,2035,All,,,,,1
YearSplit,NDPTh,,,,,,2036,All,,,,,1
YearSplit,NDPTh,,,,,,2037,All,,,,,1
YearSplit,NDPTh,,,,,,2038,All,,,,,1
YearSplit,NDPTh,,,,,,2039,All,,,,,1
YearSplit,NDPTh,,,,,,2040,All,,,,,1
YearSplit,NDPTh,,,,,,2041,All,,,,,1
YearSplit,NDPTh,,,,,,2042,All,,,,,1
YearSplit,NDPTh,,,,,,2043,All,,,,,1
YearSplit,NDPTh,,,,,,2044,All,,,,,1
YearSplit,NDPTh,,,,,,2045,All,,,,,1
YearSplit,NDPTh,,,,,,2046,All,,,,,1
YearSplit,NDPTh,,,,,,2047,All,,,,,1
YearSplit,NDPTh,,,,,,2048,All,,,,,1
YearSplit,NDPTh,,,,,,2049,All,,,,,1
YearSplit,NDPTh,,,,,,2050,All,,,,,1
